Product SKU	Product Name	Product Description	Model
24549771	Sharpie S-Gel Retractable Gel Pen, Medium Point, Assorted Ink, Dozen (2129832)	Sharpie S-Gel Retractable Gel Pen, Medium Point, Assorted Ink, Dozen (2129832)	2129832
24552240	Cascade Original ActionPacs Dishwashing Detergent, Fresh Scent, 105 Pods/Box (3700028028)	Cascade Original ActionPacs Dishwashing Detergent, Fresh Scent, 105 Pods/Box (3700028028)	3700028028
24552240	CASC AP FR SC 105C	Cascade Original ActionPacs Dishwashing Detergent, Fresh Scent, 105 Pods/Box (3700028028)	3700028028
24561375	Cascade Platinum Plus ActionPacs Dishwashing Detergent Pods, Fresh Scent, 47 Pods/Box (57893/6156)	Cascade Platinum Plus ActionPacs Dishwashing Detergent Pods, Fresh Scent, 47 Pods/Box (57893/6156)	57893/6156
24561375	CASCADE PLAT PLUS	Cascade Platinum Plus ActionPacs Dishwashing Detergent Pods, Fresh Scent, 47 Pods/Box (57893/6156)	57893/6156
24562505	Dawn Platinum Dish Soap, Refreshing Rain, 54.8 fl. oz., 2/Pack (04504)	Dawn Platinum Liquid Dish Soap, Refreshing Rain, 54.8 oz., 2/Pack (04504)	4504
24563597	$200 VISA + $7.95	$200 VISA + $7.95	
24564427	Dunkin Original Blend Coffee Keurig KCu	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 176/Case (006933)	006933CT
24564427	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 176/Case (006933)	Dunkin' Original Blend Coffee Keurig® K-Cup® Pods, Medium Roast, 176/Case (006933)	006933CT
24566070	ALTEC KIDS ANC WRL	Altec Lansing Kid-Safe ANC Wired/Wireless Active Noise Canceling On-Ear, Bluetooth, Blackout Electric Purple (MZX4500-BOPUR)	MZX4500-BOPUR
24572587	j5create 5.9' USB C to USB C Power Cable, Male to Male, Black (JUCX25L18)	j5create 5.9' USB C to USB C Power Cable, Male to Male, Black (JUCX25L18)	JUCX25L18
24572587	J5 USBC 100W SYNC	j5create 5.9' USB C to USB C Power Cable, Male to Male, Black (JUCX25L18)	JUCX25L18
24573908	j5create 65W USB-C 2-Port GaN PD Charger, White (JUP2465)	j5create 65W USB-C 2-Port GaN PD Charger, White (JUP2465)	JUP2465
24573908	65W GAN SLIM PD3.0	j5create 65W USB-C 2-Port GaN PD Charger, White (JUP2465)	JUP2465
24573914	j5create 100W USB Type-C Charger, Black (JUP2290C)	j5create 100W USB Type-C Charger, Black (JUP2290C)	JUP2290C
24579067	TRU RED™ 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 600 Sheets/Ream, 6 Reams/Carton (TR62091)	TRU RED™ 8.5" x 11" Copy Paper, 20 lbs., 92 Brightness, 600 Sheets/Ream, 6 Reams/Carton (TR62091)	TR62091
24580006	Bose QuietComfort Wireless Noise Canceling Earbuds, Black (882826-0010)	Bose QuietComfort Wireless Noise Canceling Earbuds, Black (882826-0010)	882826-0010
24580006	BOSE QC ULTRA EARB	Bose QuietComfort Wireless Noise Canceling Earbuds, Black (882826-0010)	882826-0010
24580025	Apple AirPods Pro (2nd Generation) with MagSafe Charging Case USB‑C, White (MTJV3LL/A)	Apple AirPods Pro (2nd Generation) with MagSafe Charging Case USB‑C, White (MTJV3LL/A)	MTJV3LL/A
24580025	APPLE AIRPODS PRO	Apple AirPods Pro (2nd Generation) with MagSafe Charging Case USB‑C, White (MTJV3LL/A)	MTJV3LL/A
24580119	SD AY25 WC ABSTRAC	SD AY25 WC ABSTRAC	
24581798	RIP STOP RPO BLACK	3Brand Russell Wilson Pro Nike Laptop Backpack, Medium, Black/Green (9AT047-023)	9AT047-023
24583375	PS5 SLIM SPIDER-MA	PS5 SLIM SPIDER-MA	
24584663	Staples TECH USB-C to USB-C Charging Cable, 6.5 ft., White (ST62335)	Staples TECH USB-C to USB-C Charging Cable, 6.5 ft., White (ST62335)	ST62335
24584663	STPLS TECH USBC-C	Staples TECH USB-C to USB-C Charging Cable, 6.5 ft., White (ST62335)	ST62335
24584664	Staples TECH USB-C to USB-C Charging Cable, 9.8 ft., White (ST62336)	Staples TECH USB-C to USB-C Charging Cable, 9.8 ft., White (ST62336)	ST62336
24584664	STPLS TECH C-C BRA	Staples TECH USB-C to USB-C Charging Cable, 9.8 ft., White (ST62336)	ST62336
24585052	STPLS PROGEL SINGL	Staples ProGel™ Retractable Gel Pen, Fine Point, 0.7mm, Blue Ink (ST62342)	ST62342-CC
24589050	Sharpie Stick Highlighter, Chisel Tip, Yellow, 4/Pack (1770695)	Sharpie Stick Highlighter, Chisel Tip, Yellow, 4/Pack (1770695)	1770695
24589050	SHARPIE HL POCKET	Sharpie Stick Highlighter, Chisel Tip, Yellow, 4/Pack (1770695)	1770695
24590699	Astrobrights Colored Paper, 24 lbs., 8.5" x 11", Assorted Galactic Blues, 100 Sheets/Ream (91529)	Astrobrights Colored Paper, 24 lbs., 8.5" x 11", Assorted Galactic Blues, 100 Sheets/Ream (91529)	91529
24590914	POKEMON CARDS	POKEMON CARDS	
24591315	BOSE QUIETCOM HEAD	Bose QuietComfort Bluetooth Wireless Active Noise Cancelling Over-the-Ear Headphones, Black (884367-0100)	884367-0100
24592535	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Powder (3E0793-PDW8NA)	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Powder (3E0793-PDW8NA)	3E0793-PDW8NA
24592535	360 5FT C-C CABLE	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Powder (3E0793-PDW8NA)	3E0793-PDW8NA
24592536	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Granite (3E0793-GRG8NA)	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Granite (3E0793-GRG8NA)	3E0793-GRG8NA
24592536	360 5FT C-C CABLE	360 Electrical Fluid USB-C to USB-C Charging Cable, 5 ft., Granite (3E0793-GRG8NA)	3E0793-GRG8NA
24592780	SKITTLES GUMMIES O	SKITTLES GUMMIES O	
24592783	EXTRA POLAR ICE 15	EXTRA POLAR ICE 15	
24592784	EXTRA PEPPERMINT	EXTRA PEPPERMINT	
24592836	HP COLOR LJPRO MFP	HP LaserJet Pro MFP 3301fdw Wireless Color All-In-One Laser Printer, Print, Scan, Copy, Fax, Best for Office (499Q5F)	499Q5F#BGJ
24593284	GREENMADE 27G BLK/		
24595414	Original HP 218X Black High-yield Toner Cartridge, print up to 3,200 pages (W2180X)	HP 218X Black High Yield Toner Cartridge, Prints Up to 3200 Pages (W2180X)	W2180X
24596385	HERSHEY MLK CHC HR	HERSHEY MLK CHC HR	
24599156	Flipside Tri-Fold Project Board, 48" x 36", Corrugated Paper, White, 4/Pack (18042)	Flipside Tri-Fold Project Board, 48" x 36", Corrugated Paper, White, 4/Pack (18042)	18042
24600082	BOX LOCK 6 PACK 2	Scotch Box Lock Heavy Duty Packing Tape, 1.88" x 38.2 yds., Clear, 8/Pack (3950S-6-2BR6GC)	3950S-6-2BR6GC
24608319	DUNKIN ORIGINAL BL	DUNKIN ORIGINAL BL	
24612191	SOUR PATCH KIDS BU	SOUR PATCH KIDS BU	
24612526	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Honey Gold (141845-6856)	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Honey Gold (141845-6856)	141845-6856
24612530	Samsonite Proxis 31" Hardside Suitcase, 8-Wheeled Spinner, Silver (141847-1776)	Samsonite Proxis 31" Hardside Suitcase, 8-Wheeled Spinner, Silver (141847-1776)	141847-1776
24612532	Samsonite Proxis 32" Hardside Suitcase, 8-Wheeled Spinner, Black (141848-1041)	Samsonite Proxis 32" Hardside Suitcase, 8-Wheeled Spinner, Black (141848-1041)	141848-1041
24612534	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Pretol Blue (141845-1686)	Samsonite Proxis 22" Hardside Carry-On Suitcase, 8-Wheeled Spinner, Pretol Blue (141845-1686)	141845-1686
24615808	TURBOTAX HOME & BU	TurboTax Home & Business 2024 for 1 User, Windows/Mac, Product Key Card (5109009)	5109009
24626384	FIVESTAR POLY COMP	FIVESTAR POLY COMP	
24631634	Scotch Sure Start Packing Tape, 1.88" x 54.6 yds., Clear (3450)	Scotch Sure Start Packing Tape, 1.88" x 54.6 yds., Clear (3450)	3450
24645505	POST-IT SS 3X3 APP	Post-it Super Sticky Notes, 3" x 3", Assorted Bright Colors, 70 Sheets/Pad, 8 Pads/Pack (654-8SSAP)	654-8SSAP
24646699	PNY Attaché 3 16GB USB 2.0 Type A Flash Drive, Black (P-FD16GATT3-BG)	PNY Attaché 3 16GB USB 2.0 Type A Flash Drive, Black (P-FD16GATT3-BG)	P-FD16GATT3-BG
24646699	PNY 16GB ATTACHE 3	PNY Attaché 3 16GB USB 2.0 Type A Flash Drive, Black (P-FD16GATT3-BG)	P-FD16GATT3-BG
